lemma,entry,definition,dcc
"duco","dūcō, dūcere, dūxī, ductum","lead, conduct, draw, bring forward, guide; consider, reckon, hold, account, esteem, believe","false"
"dulcedo","dulcēdō, dulcēdinis, f.","sweetness; pleasantness, charm; a pleasure, something sweet or pleasant","false"
"dum","dum","while, as long as; until","false"
"duo","duo, duae, duo","two; a couple, a pair","false"
"duro","dūrō (1)","make hard, harden, solidify; become hard, become solid; harden onself, steel oneself; hold out, endure, last; endure, bear with","false"
"e","ē, ex","out of, from within, from","false"
"ecce","ecce","behold! look! see!","false"
"educo","ēdūcō, ēdūcere, ēdūxī, ēductum","lead or bring out or away; lead forth; draw out, extract; elicit, evoke; drain away, draw away; bring forth, conceive","false"
"efficio","efficiō, efficere, effēcī, effectum","manufacture, make, construct; compose; cause to occur, bring about; bring it about that, be the cause that; yield, produce, bear; make up, constitute; make or perform completely, finish; deduce from premises, prove, (passive) follow","false"
"effingo","effingō, effingere, effīnxī, effictum","shape, mould, fashion, form; portray, depict, represent; reproduce, copy, imitate","false"
"emano","ēmanō (1)","pour fourth, flow (out, forth); arise, emanate; become diffused, spread (out, about, around)","false"
"emitto","ēmittō, ēmittere, ēmīsī, ēmissum","send out, send forth, dispatch; make known, publish; release, free, let go, discharge, let loose; let fly, launch, shoot; give off, emit; utter (words, sounds)","false"
"enato","ēnatō","swim away, escape by swimming; float up or forth","false"
"enim","enim","(usually postpositive) for; for instance, namely, that is to say; I mean, in fact","false"
"enitor","ēnītor, ēnītī, ēnīsus/ēnīxus sum","struggle up or out; take pains, strive, exert onself; give birth to, produce","false"
"eo","eō","(adverb) for that reason, consequently, therefore; (with comparatives, often correlative to \textit{quo} or another relative) by that degree, so much, to such a degree","false"
"eo","eō, īre, iī/īvī, itum","go, proceed, make one's way, move, pass","false"
"equidem","equidem","(with the first person singular or in replies about the speaker or writer) I for my part, I personally, I and no one else (often better left untranslated); (as an emphatic particle not with the first person singular) indeed, in truth","false"
"ergo","ergō","for that reason, therefore, then, so, accordingly; (in questions) in that case, then; well then, all right then; (marking a concession and objection) yes, but; ah, but","false"
"erro","errō (1)","wander about, roam; float, flit, drift; be in doubt, be uncertain, waver; go astray, wander from the course, go wrong; think or act in error, be mistaken, be incorrect; go wrong morally","false"
"error","error, errōris, m.","a wandering, straying, strolling; uncertainty, doubt, perplexity; mistake, error; moral lapse","false"
"et","et","and; even, also; \textbf{et\dots et} both\dots and","false"
"etenim","etenim","and indeed, the fact is, for","false"
"etiam","etiam","still, yet, even now; yet again; also, in addition, as well, too; (indicating an affirmative answer to a question) indeed, yes","false"
"eversio","ēversiō, ēversiōnis, f.","the action of overturning or upsetting; expulsion, turning out; destruction","false"
"everto","ēvertō, ēvertere, ēvertī, ēversum","overturn, turn upside down, reverse, throw back; throw down, cause to fall violently, bring down; ruin, overthrow, destroy, upset","false"
"evidens","ēvidēns, ēvidentis","perceptible; clear, obvious; open, unconcealed","false"
"ex","ex","see \textit{ē}","false"
"excito","excitō (1)","call out, summon forth, bring out; wake, rouse; excite, stir, agitate, rouse to vigorous physical or mental activity","false"
"excludo","exclūdō, exclūdere, exclūsī, exclūsum","shut out, keep out, exclude; cut off, remove, separate; debar, hinder, prevent; leave out, omit","false"
"excogito","excōgitō (1)","think out, contrive, devise, invent","false"
"exemplum","exemplum, exemplī, n.","a sample, specimen; example, instance; precedent, pattern, model, parallel; a copy, reproduction, transcript","false"
"exeo","exeō, exīre, exiī/exīvī, exitum","go out, go forth; go away, depart, move away; withdraw, retire","false"
"exiguus","exiguus, exigua, exiguum","small (in size, amount, or quantity), scanty, little; short, brief; trivial, slight, petty","false"
"expergiscor","expergiscor, expergiscī, experrectus sum","wake up, become awake; rouse oneself","false"
"explico","explicō (1)","unfold, untwine, straighten; level out, smooth; disentangle, settle, solve; make clear, reveal to view, make known, give an account of","false"
"exploro","explōrō (1)","reconnoitre, inspect; inquire into, investigate; ascertain (that); ensure (that); \textit{explōrātum habēre} know for certain, be sure","false"
"ex(s)isto","ex(s)istō, ex(s)istere, ex(s)titī, ex(s)titum","appear, arise; come forward, present oneself; come into being, emerge, arise; prove to be, show oneself","false"
"ex(s)olvo","ex(s)olvō, ex(s)olvere, ex(s)oluī, ex(s)olūtum","unfasten, undo, loose; open, solve; set free, release; put an end to, do away with; perform, discharge; pay; award","false"
"ex(s)pecto","ex(s)pectō","wait for, await; look forward to, hope for; expect; wait to see or know","false"
"ex(s)piro","ex(s)pīrō (1)","breathe out, exhale, emit; breathe one's last, die, expire, come to an end, perish;","false"
"extendo","extendō, extendere, extendī, extentum/extēnsum","make taut, stretch; stretch out, thrust out; lie full length; prolong, extend the duration of, continue; strain, exert oneself","false"
"extensio","extēnsiō, extēnsiōnis, f.","distance covered by stretching out, span, extent","false"
"externus","externus, externa, externum","outward, external, situated on the outside; extraneous, not intrinsic; foreign, coming from abroad, alien","false"
"extra","extrā","(adverb or preposition with the accusative) on the outside, externally; out, outward; beyond the boundaries of, outside, out of, beyond the scope of","false"
"facilis","facilis, facile","easy, not requiring great effort; straightforward, simple; involving no difficulties, tractable, light, tolerable","false"
"facio","faciō, facere, fēcī, factum","make, build, construct; produce, bring forth, cause to grow; write, compose, form; appoint, institute, create; do, cause, bring about","false"
"facultas","facultās, facultātis, f.","ability, power, capacity, skill; strength, support; a particular skill, faculty, talent, endowment; power, potency, property (as an ability, not a piece of land); possibility, opportunity, chance","false"
"fallo","fallō, fallere, fefellī, falsum","deceive, trick, mislead; fail to support, prove treacherous; belie, dissapoint, fail to come up to, fail to execute; escape the notice of, be unperceived by; go unnoticed; avoid, elude, escape","false"
"falsitas","falsitās, falsitātis, f.","falsity, the quality of being false; a falsehood, a false statement, belief, or similar (non-classical)","false"
"familiaritas","familiāritās, familiāritātis, f.","close friendship, intimacy, familiarity; close relationship, kinship (of family or friends); the state of being well-known, familiarity","false"
"fateor","fateor, fatērī, fassus sum","concede, acknowledge, admit; admit guilt, confess; profess, declare, avow; assent, say yes, agree to","false"
"fatigo","fatīgō (1)","tire out, weary, exhaust; work at persistently, keep at (something or someone); press hard, harass; assail, worry, plague; expend, use up, exhaust","false"
"favus","favus, favī, m.","a honeycomb; hexagonal paving stone","false"
"fenestra","fenestra, fenestrae, f.","window; any hole, opening, aperture","false"
"ferio","feriō, ferīre, ———, ———","strike, hit; flot, beat; knock","false"
"fero","ferō, ferre, tulī, lātum","bring, carry, take, convey, lead; lift up, raise; bear, endure, sustain; allege, claim; relate, tell, report","false"
"ferveo","ferveō, fervēre, ferbuī, fervitum","be intensely hot, be boiling hot; boil; be warm, be hot; be inflamed, be feverish; be active or busy, move swiftly or in an agitated manner; be eager or enthusiastic","false"
"fictilis","fictilis, fictile","made of clay, earthenware, terracotta","false"
"fictitius","fictītius, fictītia, fictītium"," (in classical Latin, the stem is \textit{fictīc}-) artificial, not natural; unreal, made up","false"
"figmentum","figmentum, figmentī, n.","an image, something made up; fiction, invention, unreality","false"
"figo","fīgō, fīgere, fīxī, fīctum","fix, fasten, drive, thrust in; attach, affix; post, erect, set up","false"
"figura","figūra, figūrae, f.","a form, shape, figure, outline; posture, pose, attitude","false"
"figuro","figūrō (1)","form, fashion, shape, mould; transform; arrange; depict, represent, make a likeness of; (sometimes with \textit{sibi}) form a mental image of, imagine","false"
"fingo","fingō, fingere, fīnxī, fictum","make by shaping, mould, fasion; produce artificially, make an imitation of, counterfeit; form out of original material, create; produce (offspring); make a likeness of, represent; tidy, arrange, groom; transform; modify character or behavior of (someone or something), guide, mould, influence, train; compose (literary works); invent, coin; devise, contrive, think up; bring about, produce; (with \textit{sibi}, \textit{animo}, or similar) visualize, form a mental picture of, conjure up in the mind, imagine; suppose that, imagine, assume that; make up, invent, fabricate; feign, simulate","false"
"fio","fīō, fīerī, factus sum","(infinitive also \textit{fierī}) take place, occur, arise, happen, come about; be done, be made, be created, be produced, be prepared","false"
"firmus","firmus, firma, firmum","strong, durable; robust, sturdy; sound, strong, in good health; firm, steady, secure","false"
"flexibilis","flexibilis, flexibile","pliant, flexible, yielding; adaptable; tractable, pliable, open to influence or change","false"
"flos","flōs, flōris, m.","flower, blossom, bloom","false"
"focus","focus, focī, m.","a fireplace, hearth; (as the symbol of life in a home) one's fireside, one's home; sacrifical hearth or altar","false"
"fons","fōns, fontis, m.","a spring, fountain; well, source","false"
"for","for, fārī, fātus sum","speak, talk; say, tell; tell of, reveal (something)","false"
"forma","forma, formae, f.","a form, contour, figure, shape; appearance, looks; beauty, good looks; a geometrical figure","false"
"formo","formō (1)","shape, fashion; form, build; change the appearance of, transform; adapt, modify","false"
"forsan","forsan","perhaps, possibly, maybe, it may be","false"
"fortasse","fortasse","perhaps, possibly, maybe, it may be","false"
"fortassis","fortassis","perhaps, possibly, maybe, it may be","false"
"fortis","fortis, forte","strong, hardy, vigorous, tough; healthy, in good physical health, robust; brave, bold, resolute; (of arguments or ideas) convincing, strong, forceful; (colloquial of people and conduct) honorable, decent, worthy","false"
"fragrantia","frāgrantia, frāgrantiae, f.","odor, scent, a smell; fragrance, sweet smell","false"
"frequenter","frequenter","in large numbers, in crowds; densely, thickly; on many occasions or at frequent intervals, repeatedly, often, frequently; commonly, generally, widely","false"
"frigidus","frigidus, frigida, frigidum","cold, chilly, cool; sluggish, torpid","false"
"fruor","fruor, fruī, frūctus sum","enjoy the produce of or proceeds from, derive advantage from; avail oneself of, enjoy; be blessed with, enjoy; delight in, find enjoyable, enjoy","false"
"frustra","frustrā","to no purpose, in vain, to no avail; without reason or purpose, mistakenly, needlessly","false"
"fundamentum","fundāmentum, fundāmentī, n.","a foundation, substructure for a building; a basis, foundation; a fundamental necessity, something indispensible, a requirement","false"
"funditus","funditus","(\textit{adverb}) from the very bottom, from the foundations, by the roots; to the ground (in context of destruction); utterly, completely, without exception","false"
"gaudeo","gaudeō, gaudēre, gāvīsus sum","rejoice, be glad, be joyful","false"
"generalis","generālis, generāle","of or belonging to a kind, shared by a class, common to a group or type; of universal application, general","false"
"genius","genius, geniī, m.","guardian spirit of a person or family; spirit, inclination, genius, inner nature","false"
"genus","genus, generis, n.","stock, descent, origin; family line; nationality, race, nation; a generation, age; a class, type, kind, variety, group; gender","false"
"geometria","geōmetria, geōmetriae, f.","geometry","false"
"gurges","gurges, gurgitis, m.","a swirling mass of water, whirlpool, eddy; waters of a river, sea, etc., a flood","false"
"gustus","gustus, gustūs, m.","the action of tasting; the sense of taste; a flavor, taste; a small portion (of food or drink), a taste; a portion, a specimen, sample","false"
"habena","habēna, habēnae, f.","a halter, bridle, rein","false"
"habeo","habeō, habēre, habuī, habitum","have, own, possess; hold, have in hand, have under one's control; have on, wear, carry; conduct, hold; regard, look on, treat as","false"
"hactenus","hāctenus","to this point in space, so far; to this point in time, up until now; to this extent or degree, so far","false"
"haereo","haereō, haerēre, haesī, haesum","cling, adhere, stick, stick fast; be fixed, hold on tightly; be contiguous in space, join on (to); be inherent (in) or connected (with); remain in place, stay put, linger; persist, continue; be at a loss, be in difficulties, be stuck","false"
"halitus","hālitus, hālitūs, m.","exhalation, vapor; breath, the air that one breathes in","false"
"haud","haud","not, not at all, by no means","false"
"haurio","hauriō, haurīre, hausī/hauriī, haustum/haurītum","draw up, draw out, draw, scoop up; derive, draw from; wound (in such a way as to draw blood); drink, imbibe, drain; swallow; take in, absorb; consume, devour; swallow up, engulf; use up, consume","false"
"hesternus","hesternus, hesterna, hesternum","of yesterday, yesterday's","false"
"hic","hīc","in this place, here; in the present case or circumstances, in this case, in this situation","false"
"hic","hic, haec, hoc","this, these (of something near in place, time, or uppermost in thought); the last, the recent; the latter (as opposed to \textit{ille} meaning `the former'); the following (referring to something about to be said)","false"
"hodie","hodiē","today","false"
"homo","homō, hominis, m.","a human being, person","false"
"humanus","hūmānus, hūmāna, hūmanum","of or belonging to a person or people in general, human; civilized, humane (as opposed to nature or wild animals); cultured, cultivated; kindly, considerate, morally worthy of humanity; merciful, indulgent","false"
"hyemalis","hyemālis, hyemāle","(classical \textit{hiemāl}-) of or belonging to winter, winter-; wintry, stormy","false"
"iaceo","iaceō, iacēre, iacuī, iacitum","lie, lie down; rest, recline; lie dead, be killed, die","false"
"iam","iam","already now, just now; soon now","false"
"idem","īdem, eadem, idem","the same, identical (as something previously mentioned or under discussion)","false"
"ideo","ideō","for that reason, therefore","false"
"igitur","igitur","(almost always postpositive) in that case, then; consequently, therefore, then, so; accordingly, so then","false"
"ignis","ignis, ignis, m.","(ablative singular is normally \textit{igni} but sometimes (especially later) \textit{igne}) fire; (metaphorically) fire or glow of passion; lightning, a lightning flash; fever, high temperature","false"
"ignosco","ignoscō, ignoscere, ignōvī, ignōtum","(with accusative of offence and dative of offender) to pardon, forgive, excuse; overlook, allow, indulge, make allowance","false"
"ilico","īlicō","(also \textit{illicō}) on the spot, just here (there); at that moment, at once, there and then","false"
"ille","ille, illa, illud","that, those; the famous, the well-known (or infamous); the former (as opposed to \textit{hic} as the latter)","false"
"illusio","illūsiō, illūsiōnis, f.","a mocking, the action of ridicule; saying the opposite of what is meant, irony; (post-classical) a deception of any kind, an illusion","false"
"immitto","immittō, immittere, immīsī, immissum","cause to go, send (to a place); send (against or into); set (against); cast, direct; put in, insert, introduce; grant entry, let in, admit","false"
"immo","immō","(used to introduce a correction of something said or implied previously) rather, more correctly, more precisely, on the contrary, no indeed","false"
"immobilis","immōbilis, immōbile","immovable, fixed; unmoving, motionless; unalterable, fixed, unchanging; slow to move; imperturbable, steadfast, emotionally steady","false"
"imperfectio","imperfectiō, imperfectiōnis, f.","imperfection, flaw","false"
"imperfectus","imperfectus, imperfecta, imperfectum","unfinished, not completed; imperfect","false"
"improvide","imprōvidē","without forethought, unwarily; thoughtlessly, without thought for the future","false"
"imprudens","imprūdēns, imprūdentis","having no knowledge of something, ignorant; unaware of what one is doing, unwitting; unintentional; unaware of what will happen, not foreseeing; foolish, incautious, lacking in judgment or discretion","false"
"impono","impōnō, impōnere, imposuī, impositum","place, put, or set on or; impose, force, inflict; assign, confer; post, station","false"
"imaginor","imāginor (1)","form a mental picture of, imagine; give or produce an image","false"
"imaginarius","imāginārius, imāgināria, imāginārium","unreal, imaginary; fictitious, pretend","false"
"imaginatio","imāginātiō, imāginātiōnis, f.","the action of picturing mentally, fantasy, imagining; a mental image, something imagined","false"
"imaginatrix","imāginātrix, imāginātricis","of or related to imagination, productive of imagination, causing imagination","false"
"imago","imāgō, imāginis, f.","a representation, picture, likeness, image; an ancestral death mask used in Roman funerals; a reflection; an echo; illusory apparition, ghost, phantom, hallucination; mental image, representation in one's mind; description, sketch; semblance, imitation; duplicate, copy, replica; model, example","false"
"imo","imō","see \textit{immō}","false"
"in","in","(with accusative) into, onto; against; (with ablative) in, on","false"
"incertus","incertus, incerta, incertum","not fixed or predetermined; subject to chance, unpredictable; not specified or defined; not yet decided, uncertain; unsure, unsafe, precarious","false"
"incido","incidō, incidere, incidī, incāsum","fall on, onto, or into; fall, settle, impinge (on); fall over, stumble against; throw onself, rush (upon); fall into the possession or power of; happen on, chance to meet; fall into, happen into (a state or situation), enter inadvertently into, slip into; arise, occur, happen","false"
"incipio","incipiō, incipere, incēpī, inceptum","take in hand, begin, start, embark on; originate, take rise","false"
"incoho","incohō (1)","begin, commence, start, initiate; establish, found","false"
"inconcussus","inconcussus, inconcussa, inconcussum","unshaken, firm, steady; unbroken, secure, untroubled; steadfast, unwavering","false"
"incumbo","incumbō, incumbere, incubuī, incubitum","bend forward, lean over, support oneself, lean on; apply force to (by leaning on), press (on), weigh (on or upon); bear down, press one's attack (on); fall to","false"
"incurro","incurrō, incurrere, incucurrī, incursum","rush or charge (at), make an attack (on); run or rush in; encounter, meet with, meet, run into","false"
"incedo","incēdō, incēdere, incessi, incessum","advance, march, proceed; stride, strut; advance, extend; go into or onto, enter; arise, come on, befall","false"
"inconsiderantia","incōnsīderantia, incōnsīderantiae, f.","lack of reflection or forethought, recklessness; inattentiveness, absent-mindedness","false"
"indicium","indicium, indiciī, n.","information, disclosure of information;evidence, an indication, token, symbol; omen, portent, warning","false"
"indubitatus","indubitātus, indubitāta, indubitātum","that cannot be doubted, certain, unquestionable; not hesitated over, confident","false"
"indulgeo","indulgeō, indulgēre, indulsī, indultum","be indulgent or lenient (to); allow (someone) to have their way; make allowance for; look favorably on, show kindness to; indulge, give free rein to; take pleasure in, indulge in, devote oneself to (plus dative)","false"
"industria","industria, industriae, f.","diligence, purposeful activity, industry, zeal; an example of diligence, a purposeful activity","false"
"industrius","industrius, industria, industrium","active, dilgent, zealous, assiduous","false"
"induo","induō, induere, induī, indūtum","put on; assume, adopt; clothe, dress in (often with ablative)","false"
"ineptio","ineptiō, ineptīre, ineptīvī, ———","be foolish, be silly","false"
"ineptus","ineptus, inepta, ineptum","without sense of what is fitting, lacking in judgment; foolish, silly","false"
"inextricabilis","inextrīcābilis, inextrīcābile","impossible to disentangle or sort out; pathless, inescapable; insoluble","false"
"ineo","ineō, inīre, iniī/inīvī, initum","go into, enter; enter upon, commence, begin","false"
"infirmo","īnfirmō (1)","weaken (physically or mentally); lessen destroy; refute, deny; annul, invalidate","false"
"infundo","īnfundō, infundere, infūdī, infūsum","pour in or into, pour on or over; (with ablative) fill, moisten, wet; pour down, shower; cause to extend, impart; stretch out or relax","false"
"infigo","īnfīgō, infīgere, infīxī, infīxum","implant, drive in; fasten, affix, attach; set firmly in place, plant, implant, impress; fix in the mind or memory, impress, implant","false"
"infinitus","īnfīnītus, infīnīta, infīnītum","not limited, infinite, endless, boundless, unlimited; not specified, indefinite; unrestricted, absolute","false"
"ingredior","ingredior, ingredī, ingressus sum","go into or onto; enter upon, commence, begin; walk, proceed (on foot); advance, assail, attack","false"
"ingens","ingēns, ingentis","huge, vast, very large (in size, number, or extent); very great (in degree or intensity); notable, momentous, of great importance","false"
"initium","initium, initiī, n.","beginning, start, commencement","false"
"innumerabilis","innumerābilis, innumerābile","countless, that cannot be counted, limitless","false"
"innotesco","innōtēscō, innōtēscere, innōtuī, ———","become known or familiar; become famous or celebrated","false"
"inquam","inquam","say (usually introducing a direct quotation)","false"
"insanio","īnsaniō (4)","be out of one's mind, be mad, be insane; behave like someone insane, rave, act crazily","false"
"insidiae","īnsidiae, īnsidiārum, f.","(plural in Latin with a singular meaning in English) an ambush, a surprise attack; treachery, a plot; a snare, a trap","false"
"insomnium","īnsomnium, īnsomniī, n.","wakefulness, sleeplessness (usually plural); a vision, a dream, something seen in a dream or a trance","false"
"inspectio","īnspectiō, īnspectiōnis, f.","the action of looking (at or into); a visual examination, inspection; theoretical examination, inquiry, investigation","false"
"instar","īnstar, ———, n.","(found only in nominative and accusative singular) an equivalent in measure, appearance, effect, condition, etc., an equal, a likeness;","false"
"instituo","īnstituō, īnstituere, īnstituī, īnstitūtum","set in being, organize, put into operation; put up, erect; establish, set up; appoint; institute, originate, establish; train, instruct","false"
"insuper","īnsuper","\textit{adverb and preposition with accusative and ablative} on the top of, upon, over; (with accusative) on to the top of, upon, over (implying the breaking of a boundary); (with ablative) above, over (without the breaking of a boundary); in addition to","false"
"integer","integer, integra, integrum","untouched, untried, fresh; undecided; open-minded, unprejudiced; whole, complete, (in an) undiminished (state); undamaged, whole, healthy, sound, unbroken, unscathed, unimpaired","false"
"intellego","intellego","to come to know, see into, perceive, understand, discern, comprehend, gather","false"
"intelligo","intelligō, intelligere, intellēxī, intellēctum","(present stem also \textit{intelleg}-) grasp mentally, understand, realize; understand by inference, deduce; understand the value of, appreciate; (intransitive) have or exercise powers of understand, possess intelligence","false"
"inter","inter","(preposition with accusative) among, in the presence of, amid; among, along with; beetween; during, in the middle of, while busy with, amid","false"
"interdum","interdum","at times, from time to time, now and then; occasionally; in the meantime, for the time being","false"
"interim","interim","meanwhile, in the meantime; for the time being, for the present; all the while, at the same time; from time to time, occasionally, sometimes","false"
"intra","intrā","(preposition with accusative) within, inside, privately, at home; in one's own country; \textit{intrā sē} to oneself, privately; (of time) within the space of, inside, before; on this side of, without passing beyond, short of; (adverb) inside, within; to the inside, inwards","false"
"intueor","intueor, intuērī, intuitus sum","look at, watch, gaze at; be a witness of, observe; (of things) be turned towards, face, have a view of; reflect upon, consider, contemplate","false"
"invenio","inveniō, invenīre, invēnī, inventum","encounter, meet, come across; find, find out, discover; devise, contrive, plan","false"
"investigo","investīgō (1)","track down, find by following a trail; search out; search out, track down, search after","false"
"invitus","invītus, invīta, invītum","not wishing, unwilling, reluctant","false"
"inusitatus","inūsitātus, inūsitāta, inūsitātum","unusual, uncommon, extraordinary, very rare; unfamiliar, strange","false"
"ipse","ipse, ipsa, ipsum","self, actual, very, exact (intensive not reflexive)","false"
"is","is, ea, id","(pronoun) he, she, it, they; (adjective) this or that (a weaker demonstrative pronoun than \textit{hic} or \textit{ille})","false"
"iste","iste, ista, istud","that (of yours), that (often but not always with negative connotation)","false"
"iudicium","iūdicium, iūdiciī, n.","judicial investigation, trial, legal process; sentence; exercise of judgment, judging or deciding; a judgment, a decision; assessment, appraisal","false"
"iudico","iūdicō (1)","examine judicially, judge, be a judge, pass judgment; sentence, condemn; decide, evaluate, appraise, determine","false"
"iungo","iungō, iungere, iunxī, iunctus","join together, connect, attach, fasten, yoke, harness; (metaphorically) bring together, unite, join","false"
"ius","iūs, iūris, n.","law, authority, right; a law, a rule; a legal procedure","false"
"iuvo","iuvō, iuvāre, iūvī, iūtum","help, aid, assist; further, serve, support, benefit; strengthen, improve; (impersonal with an infinitive) profit, benefit","false"
"labefacio","labefaciō, labefacere, labefēcī, labefactum","weaken, shake, loosen, undermine; overthrow, ruin, destroy","false"
"laboriosus","labōriōsus, labōriōsa, labōriōsum","involving much effort or work, hard, difficult, laborious; hard-working, industrious, diligent; involving hardship or suffering, painful, distressing","false"
"lateo","lateō, latēre, latuī","hide, be in hiding, go into hiding; take refuge, shelter; be out of sight, be invisible; be latent, lie below the surface, be concealed, lie hidden; escape notice, be overlooked, go unobserved","false"
"latus","latus, lateris, n.","the side (of the upper body or chest), flank; a side; an extremity or edge","false"
"laxus","laxus, laxa, laxum","wide; loose, open; spacious, roomy","false"
"lentus","lentus, lenta, lentum","pliant, flexible; tough, tenacious; sticky, viscous","false"
"levitas","levitās, levitātis, f.","lightness; lack of intensity, mildness; triviality, unreliability, fickleness, shallowness","false"
"libere","līberē","without restriction, at will, freely; open, frankly, boldly; wantonly, shamelessly","false"
"libertas","lībertās, lībertātis, f.","freedom, independence; opportunity; frankness of speech, outspokenness; lack of restraint, impertinence, licence","false"
"licet","licet, licēre, licuit/licitum est","it is permitted, one may","false"
"limes","līmēs, līmitis, m.","a boundary, limit; a piece of land within a boundary; lane, path, track, road; course, route","false"
"liquesco","liquēscō, liquēscere, licuī, ———","become liquid, melt, liquefy; flow or melt away, dissipate","false"
"liquidus","liquidus, liquida, liquidum","flowing, fluid, liquid; limpid, clear, unclouded","false"
"locus","locus, locī, m. (pl. both locī, m. and loca, n.","a place, spot, neighborhood, locale, region","false"
"longus","longus, longa, longum","long (in length or time)","false"
"loquor","loquor, loquī, locūtus sum","speak, talk, say; tell, mention","false"
"luceo","lūceō, lūcēre, lūxī, ———","be light or clear; to shine, beam, emit light; be bright, glitter; be evident, be clearly known or felt; dawn, become light","false"
"ludificatio","lūdificātiō, lūdificātiōnis, f.","jeering, derision, mocking, mockery, mocking game","false"
"lux","lūx, lūcis, f.","light; daylight, light of day; brightness","false"
"machina","māchina, māchinae, f.","machine; device, plan, contrivance","false"
"magis","magis","more, to a greater extent","false"
"magnitudo","magnitūdō, magnitūdinis, f.","greatness, size, bulk, magnitude","false"
"magnus","magnus, magna, magnum","great in size or extent, big, vast; great in number or amount, much, large; (of age) old, aged; notable, famous, of great consequence or importance","false"
"malignus","malignus, maligna, malignum","ungenerous, mean, grudging; scanty, pour; ill-disposed, spiteful, unkind; harmful","false"
"malo","mālō, mālle, māluī, ———","prefer, want more","false"
"malus","malus, mala, malum","bad; unpleasant, nasty; wicked, evil; harmful, painful, distressing","false"
"maneo","maneō, manēre, mānsī, mānsum","stay, remain (in one place); have patience, wait; wait for; be in store for, await","false"
"manifestus","manifestus, manifesta, manifestum","clear, plain, apparent; evident, manifest; exposed, caught in the act, flagrant","false"
"manus","manus, manūs, f.","hand (of people), paw (of animals); a band, a troop, company, faction; (by metonymy) handwork, workmanship","false"
"maturus","mātūrus, mātūra, mātūrum","ripe, full-grown, adult (of plants, fruits, or animals); experienced, mature; advanced in age, aged, old; occurring at the proper time, timely","false"
"medicina","medicīna, medicīnae, f.","the art or practice of healing, medicine, the knowledge or science of medicine; a treatment, a cure, a remedy","false"
"meditatio","meditātiō, meditātiōnis, f.","reflection, contemplation, pondering; the subject of reflection or thought, an idea, a thought; planning, devising; practicing, rehearsal; exercise, practice","false"
"meditor","meditor (1)","contemplate, ponder, reflect; have in mind, intend; devise, plan, think out; go over, say to oneself, work over, practice","false"
"mel","mel, mellis, n.","honey; something sweet, pleasant, or agreeable","false"
"membrum","membrum, membrī, n.","a limb, part of the body, member; (pl.) limbs, the body (as a whole); one of the main divisions or component parts of something, a part; a clause, part of a larger unit of speech or writing","false"
"memoria","memoria, memoriae, f.","the power or faculty of remembering, memory; a memory, a recollection; repute, what is remembered about someone or something","false"
"mendax","mendax, mendācis","prone to lie, untruthful; lying, false, deceiving","false"
"mens","mēns, mentis, f.","mind; disposition, character; purpose, design, intention; significance, meaning; frame of mind, attitude","false"
"mentior","mentior (4)","lie, tell a falsehood; make a false promise, promise falsely; give a false account, misrepresent; invent, fabricate; feign, simulate","false"
"meus","meus, mea, meum","of me, my, mine, belonging to me, my own","false"
"minimus","minimus, minima, minimum","smallest (in size, extent, duration, etc.); least; very small, very little","false"
"minus","minus","less, to a smaller extent or degree","false"
"minutus","minūtus, minūta, minūtum","small (in length, size, duration, etc.), tiny, meager, brief; fine, consisting of fine particles","false"
"miror","mīror (1)","be surprised, amazed, bewildered; marvel at; hold in awe, admire, revere","false"
"mirus","mīrus, mīra, mīrum","extraordinary, remarkable, astonishing, amazing","false"
"modus","modus, modī, m.","a measure, extent, quantity; way, manner","false"
"moveo","moveō, movēre, mōvī, mōtum","(make) move, impel, set in motion; shake, agitate; wield, ply, exercise; shift, move; oust, expel, dislodge; stir, provoke, rouse","false"
"multus","multus, multa, multum","numerous, many; (with partitive genitive) many (of); (with a singular noun) an abundance of, much","false"
"mundus","mundus, mundī, m.","the heavens, the sky; the universe; the world, the earth","false"
"mutabilis","mūtābilis, mūtābile","liable to change, changeable, fluctuating, uncertain; that can be changed, alterable, mutable; (of people) fickle, unsteadfast","false"
"mutatio","mūtātiō, mūtātiōnis, f.","a changing, altering, a change, alteration, mutation; give and take, exchange; substitution, replacement; alternation interchange; conversion, translation","false"
"muto","mūtō (1)","give and receive, exchange; substitute (for), take or put (one thing) in place (of another); replace, change (one thing by another); change (in some way), make different, modify, alter","false"
"nam","nam","(affirmative or in assent) certainly, to be sure; (explanatory) for, because (generally explaining something that was just said or implied); (introducing an example or illustration) for instance","false"
"natio","nātiō, nātiōnis, f.","birth of a child; a people, race, nation; nationality","false"
"natura","nātūra, nātūrae, f.","nature (very broadly understood: of a person, of an object, of the universe as a whole); character, temperment, innate ability","false"
"necdum","necdum","(also \textit{nequedum}; sometimes written as two words) and not yet; but not yet; \textit{necdum\dots necdum} not yet either\dots or; (adverb) not yet","false"
"necessarius","necessārius, necessāria, necessārium","essential, necessary requisite, needed; compelling, exercising compulsion, unavoidable","false"
"necesse","necesse","indispensable, essential, necessary; inevitable, determined by natural law; necessarily true; forced, compulsory","false"
"necne","necne","(in direct questions) Or not?; (in indirect questions) or not","false"
"nego","negō (1)","say (that\dots not); deny (that), deny (something), deny (the existence of); say no, refuse, decline, withold (something); forbid","false"
